Area,Item,Year,Area_Harvested_ha,Production_ton,Yield_kg_ha
Albania,Cabbages,2022,1970.0,66696.0,33855.8
Albania,Cabbages,2023,1948.0,68705.2,35277.8
Albania,Cantaloupes and other melons,2019,1502.0,40713.0,27105.9
Albania,Cantaloupes and other melons,2020,1722.0,50164.0,29131.2
Albania,Cantaloupes and other melons,2021,1644.0,50669.1,30826.2
Albania,Cantaloupes and other melons,2022,1775.0,56420.7,31788.1
Albania,Cantaloupes and other melons,2023,1721.0,52062.3,30248.0
Albania,Carrots and turnips,2019,423.0,13571.0,32082.7
Albania,Carrots and turnips,2020,415.0,11794.0,28419.3
Albania,Carrots and turnips,2021,356.0,10080.4,28347.6
Albania,Carrots and turnips,2022,324.0,9538.8,29486.2
Albania,Carrots and turnips,2023,425.0,16122.2,37953.3
Albania,Cauliflowers and broccoli,2019,342.0,7908.0,23122.8
Albania,Cauliflowers and broccoli,2020,332.0,7206.0,21704.8
Albania,Cauliflowers and broccoli,2021,324.0,7317.7,22606.4
Albania,Cauliflowers and broccoli,2022,383.0,7676.0,20049.6
Albania,Cauliflowers and broccoli,2023,355.0,7373.5,20767.5
Albania,"Cheese from milk of goats, fresh or processed",2019,171281.03645017848,1123.72,12705.65079886103
Albania,"Cheese from milk of goats, fresh or processed",2020,171281.03645017848,1106.94,12705.65079886103
Albania,"Cheese from milk of goats, fresh or processed",2021,171281.03645017848,1109.38,12705.65079886103
Albania,"Cheese from milk of goats, fresh or processed",2022,171281.03645017848,1052.09,12705.65079886103
Albania,Cherries,2019,2203.0,19681.0,8933.7
Albania,Cherries,2020,2237.0,20471.0,9151.1
Albania,Cherries,2021,2255.0,22049.9,9779.1
Albania,Cherries,2022,2280.0,24357.0,10682.9
Albania,Cherries,2023,2315.0,19695.6,8508.4
Albania,"Chestnuts, in shell",2019,2406.0,5846.0,2429.8
Albania,"Chestnuts, in shell",2020,2407.0,5616.0,2333.2
Albania,"Chestnuts, in shell",2021,2409.0,5090.7,2113.6
Albania,"Chestnuts, in shell",2022,2412.0,6022.0,2496.7
Albania,"Chestnuts, in shell",2023,2429.0,6343.6,2612.1
Albania,Cucumbers and gherkins,2019,2654.0,126632.0,47713.6
Albania,Cucumbers and gherkins,2020,2499.0,113685.0,45492.2
Albania,Cucumbers and gherkins,2021,2565.0,118171.0,46074.2
Albania,Cucumbers and gherkins,2022,2722.0,129896.1,47727.8
Albania,Cucumbers and gherkins,2023,2725.0,128844.9,47289.1
Albania,Dates,2019,485.0,14035.0,28938.1
Albania,Dates,2020,487.0,14571.0,29919.9
Albania,Dates,2021,489.0,14454.5,29565.4
Albania,Dates,2022,490.0,14868.0,30342.9
Albania,Dates,2023,490.0,14916.0,30440.8
Albania,Figs,2019,1489.0,22024.0,14791.1
Albania,Figs,2020,1504.0,21889.0,14553.9
Albania,Figs,2021,1508.0,24095.46,15981.6
Albania,Figs,2022,1516.0,23464.0,15477.6
Albania,Figs,2023,1518.0,23350.24,15379.6
Albania,Grapes,2019,10255.0,189904.0,18518.2
Albania,Grapes,2020,10455.0,199069.0,19040.6
Albania,Grapes,2021,10548.0,212011.0,20100.2
Albania,Grapes,2022,10652.0,217883.0,20454.7
Albania,Grapes,2023,9822.0,179705.3,18296.6
Albania,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",2020,171281.03645017848,7.2,12705.65079886103
Albania,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",2021,171281.03645017848,2.1,12705.65079886103
